Вопрос из БЗ,Ответ из БЗ
Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом?,"Да, если у вас есть ранее созданный аккаунт в RUTUBE."
Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?,"Да, если у вас есть ранее созданный пароль. Если у вас нет пароля, то вы можете его создать в своем профиле внутри приложения Студии RUTUBE."
Как выйти из аккаунта в приложении Студия RUTUBE?,"Для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана."
Можно ли изменять данные профиля в приложении Студия RUTUBE?,"Вы можете изменять пол, дату рождения и пароль. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Мои данные"". Изменение номера телефона или электронной почты пока доступно только в веб-версии RUTUBE: https://rutube.ru/profile/"
Можно ли изменять название и описание профиля канала в приложении Студия RUTUBE?,"Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала""."
Можно ли удалить канал через приложение Студия RUTUBE?,"Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"", внизу экрана нажмите на кнопку ""Удалить канал""."
Можно ли изменить обложку канала и фото профиля в приложении Студия RUTUBE?,"Да, можно. Для этого, в правом верхнем углу нажмите на фото своего профиля. Затем кликните на иконку фотоаппарата, на вашей текущей обложке или фотографии профиля."
Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?,"Нет. На данный момент в приложении такой возможности нет. Рекомендуем воспользоваться веб-версией Студии для управления доступами к своему каналу. Перейдите в настройки канала и в разделе ""Доступы к студии канала"" нажмите на ""Добавить пользователя"": ссылка Подробнее про управление доступами: https://rutube.ru/info/studio"
Можно ли управлять другим каналом через приложение Студия RUTUBE?,"Нет. Если вам выданы права на управление другим каналом, то это можно сделать только в веб-версии Студии: https://studio.rutube.ru/ Для этого нажмите на иконку профиля в правом верхнем углу Студии и выберете тот канал, которым хотите начать управлять. Подробнее про управление доступами: https://rutube.ru/info/studio"
Какие требования к обложке канала?,"Мы рекомендуем соблюдать следующие требования: Разрешение: 2204х864 пикселей Формат: jpeg, jpg или png Размер файла: не более 10 МБ."
"Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?",На данный момент такой возможности нет.
Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE?,"На данный момент вы можете посмотреть аналитику только по последнему опубликованному видео. Чтобы посмотреть аналитику по другим видео вы можете воспользоваться разделом ""Аналитика"" выбрав вкладку ""Видео"" в веб-версии Студии: ссылка"
Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?,"На данный момент в приложении такой возможности нет, но вы можете посмотреть аналитику в веб-версии Студии, для этого перейдите в раздел ""Монетизация"" и нажмите на вкладку ""Видео"": https://studio.rutube.ru/monetization"
Как подключиться к партнерской программе в приложении Студия RUTUBE?,"На данный момент в приложении такой возможности нет, но вы можете подключиться к партнерской программе в веб-версии Студии в разделе ""Монетизация"": ссылка Подробнее про подключение к партнерской программе: https://rutube.ru/info/monetization"
Как создать плейлисты в приложении Студия RUTUBE?,"Пока в приложении такой возможности нет, но вы можете создавать плейлисты в веб-версии Студии в разделе ""Плейлисты"": https://studio.rutube.ru/playlists"
Можно ли загружать видео или Shorts в приложении Студия RUTUBE?,"Да, вы можете загружать ролики как формата Shorts, так и обычные."
Можно ли в приложении Студия RUTUBE создавать и вести трансляции?,"Пока в приложении такой возможности нет. Возможность запускать трансляции добавим в следующих обновлениях приложения. Рекомендуем воспользоваться разделом ""Создание трансляции"" в веб-версии Студии: https://studio.rutube.ru/create-stream"
"Можно ли отсортировать видео по статусу в категории ""Модерация/Отклонено"" в приложении Студия RUTUBE?","Нет, по статусу вы можете отфильтровать только опубликованные и запланированные видео."
Какие требования к обложке видео?,"Мы рекомендуем соблюдать следующие требования: Разрешение: до 1920х1080. Формат: jpeg, jpg или png Размер файла: не более 10 МБ."
Можно ли работать с комментариями в приложении Студия RUTUBE?,"На данный момент такой возможности нет, но мы ее обязательно добавим в следующих обновлениях. Рекомендуем воспользоваться разделом ""Комментарии"" в веб-версии Студии: https://studio.rutube.ru/comments"
Как перенести видео c YouTube на RUTUBE?,Перенести видео c Youtube на RUTUBE можно только в веб-версии Студии RUTUBE: https://studio.rutube.ru/.
Не могу зарегистрироваться/авторизоваться в приложении Студия RUTUBE. Что делать?  ,"Напишите в поддержку на help@rutube.ru указав электронную почту или номер телефона, на которые регистрировался аккаунт."
Как написать обращение в поддержку через приложение Студия RUTUBE? ,"Нажмите на фото своего профиля в правом верхнем углу, выберите ""Поддержка"", а далее вы можете отправить обращение на help@rutube.ru"
Что такое мобильное приложение Студия RUTUBE?,"Приложение Студия RUTUBE — это приложение для смартфонов, работающих под управлением Аndroid, HarmonyOS и iOS, которое помогает блогерам общаться со своей аудиторией, анализировать статистику по своему каналу и работать с контентом."
Какие функции доступны в приложении Студия RUTUBE?,В приложении Студия RUTUBE доступны: 1. Страница управления настройками 2. Загрузка и редактирование видео 3. Создание и редактирование плейлистов 4. Статистика по видео и трансляциям 5. Аналитика канала 6. Страница работы с комментариями 7. Создание и редактирование роликов Shorts 8. Создание и управление трансляцией
Где можно скачать приложение Студия RUTUBE?,Скачать приложение Студия RUTUBE можно в: 1. Google Play: https://play.google.com/store/apps/details?id=ru.rutube.studio 2. AppGallery: https://appgallery.huawei.com/#/app/C111062405 3. RuStore: https://www.rustore.ru/catalog/app/ru.rutube.studio
На каких операционных системах доступно приложение Студия RUTUBE?,"Приложение доступно на мобильных устройствах с операционной системой Аndroid (версия 8 и выше), HarmonyOS (версия ... и выше) и iOS (версия 16.0 и выше)."
Как узнать версию приложения Студия RUTUBE?,"Для этого в правом верхнем углу нажмите на фото своего профиля и под кнопкой ""Выйти"" будет указана версия приложения Студия RUTUBE."
Доступно ли приложение Студия RUTUBE на планшетах?,"Вы можете скачать приложение на планшет, но верстка будет для мобильного приложения. Замечания и пожелания по версии Студии RUTUBE для планшетов, пожалуйста, отправляйте на help@rutube.ru"
Как зарегистрироваться в приложении Студия RUTUBE?,Зарегистрироваться в приложении можно по номеру телефона или электронной почте.
Как авторизоваться в приложении Студия RUTUBE?,Авторизоваться в приложении можно по номеру телефона или электронной почте.
Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом?,"Да, если у вас есть ранее созданный аккаунт в RUTUBE."
Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?,"Да, если у вас есть ранее созданный пароль. Если у вас нет пароля, то вы можете его создать в своем профиле внутри приложения Студии RUTUBE."
Как выйти из аккаунта в приложении Студия RUTUBE?,"Для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана."
Можно ли изменять данные профиля в приложении Студия RUTUBE?,"Вы можете изменять пол, дату рождения и пароль. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Мои данные"". Изменение номера телефона или электронной почты пока доступно только в веб-версии RUTUBE: https://rutube.ru/profile/"
Можно ли изменять название и описание профиля канала в приложении Студия RUTUBE?,"Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала""."
Можно ли удалить канал через приложение Студия RUTUBE?,"Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"", внизу экрана нажмите на кнопку ""Удалить канал""."
Можно ли изменить обложку канала и фото профиля в приложении Студия RUTUBE?,"Да, можно. Для этого, в правом верхнем углу нажмите на фото своего профиля. Затем кликните на иконку фотоаппарата, на вашей текущей обложке или фотографии профиля."
Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?,"Нет. На данный момент в приложении такой возможности нет. Рекомендуем воспользоваться веб-версией Студии для управления доступами к своему каналу. Перейдите в настройки канала и в разделе ""Доступы к студии канала"" нажмите на ""Добавить пользователя"": https://studio.rutube.ru/channel-settings Подробнее про управление доступами: https://rutube.ru/info/studio"
Можно ли управлять другим каналом через приложение Студия RUTUBE?,"Нет. Если вам выданы права на управление другим каналом, то это можно сделать только в веб-версии Студии: https://studio.rutube.ru/ Для этого нажмите на иконку профиля в правом верхнем углу Студии и выберете тот канал, которым хотите начать управлять. Подробнее про управление доступами: https://rutube.ru/info/studio"
Какие требования к обложке канала?,"Мы рекомендуем соблюдать следующие требования: Разрешение: 2204х864 пикселей Формат: jpeg, jpg или png Размер файла: не более 10 МБ."
"Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?",На данный момент такой возможности нет.
Как посмотреть аналитику по конкретному видео в приложении Студия RUTUBE?,"Для просмотра аналитики по конкретному видео перейдите во вкладку ""Видео"", сверху экрана выберите подраздел ""Видео"" или ""Shorts"" и нажмите на интересующий вас ролик."
Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?,"На данный момент в приложении такой возможности нет, но вы можете посмотреть аналитику в веб-версии Студии, для этого перейдите в раздел ""Монетизация"" и нажмите на вкладку ""Видео"": https://studio.rutube.ru/monetization"
Как подключиться к партнерской программе в приложении Студия RUTUBE?,"На данный момент в приложении такой возможности нет, но вы можете подключиться к партнерской программе в веб-версии Студии в разделе ""Монетизация"": https://studio.rutube.ru/monetization Подробнее про подключение к партнерской программе: https://rutube.ru/info/monetization"
Как создать плейлисты в приложении Студия RUTUBE?,"Пока в приложении такой возможности нет, но вы можете создавать плейлисты в веб-версии Студии в разделе ""Плейлисты"": https://studio.rutube.ru/playlists"
Можно ли в приложении Студия RUTUBE создавать и загружать видео?,"Да, вы можете создавать и загружать ролики как формата Shorts, так и обычные."
Можно ли в приложении Студия RUTUBE создавать и вести трансляции?,"Да, можно. Для этого, в нижней части экрана нажмите на ""+"" и выберите ""Создать трансляцию""."
"Можно ли отсортировать видео по статусу в категории ""Модерация/Отклонено""?","Нет, по статусу вы можете отфильтровать только опубликованные и запланированные видео."
Какие требования к обложке видео?,"Мы рекомендуем соблюдать следующие требования: Разрешение: до 1920х1080. Формат: jpeg, jpg или png Размер файла: не более 10 МБ."
"Можно ли заблокировать пользователя, оставляющего оскорбительные комментарии?","На данный момент такой возможности нет, но мы ее обязательно добавим в следующих обновлениях. Рекомендуем воспользоваться разделом ""Комментарии"" в веб-версии Студии: https://studio.rutube.ru/comments"
Сколько комментариев можно закрепить под видео?,"Под видео можно закрепить 1 комментарий. Комментарий может быть как ваш собственный, так и любого другого пользователя."
Как перенести видео с YouTube на RUTUBE?,Перенести видео с YouTube на RUTUBE можно только в веб-версии Студии RUTUBE: https://studio.rutube.ru/.
Не могу зарегистрироваться/авторизоваться в приложении. Что делать?,"Напишите в поддержку на help@rutube.ru указав электронную почту или номер телефона, на которые регистрировался аккаунт."
Как написать обращение в поддержку через приложение Студия RUTUBE?,"Нажмите на фото своего профиля в правом верхнем углу, выберите ""Поддержка"", а далее вы можете отправить обращение на help@rutube.ru"
Для чего нужны настройки доступа к студии канала в Студии RUTUBE?,"С помощью настроек доступа вы сможете разрешить другим пользователям выполнять определённые действия в разделах Студии RUTUBE вашего канала, и при этом не нужно будет делиться своим паролем."
Где находятся настройки доступа к студии канала в Студии RUTUBE?,"Функционал предоставления доступа другим пользователям находится в блоке ""Доступы к студии канала"" в настройках канала: https://studio.rutube.ru/channel-settings. Здесь вы можете добавлять пользователей, назначать и изменять их роли."
"Какие данные пользователя потребуются, чтобы предоставить доступ к студии моего канала?","Вам потребуются данные этого пользователя (номер телефона или электронная почта), посмотреть эту информацию он может в профиле RUTUBE: https://rutube.ru/profile/"
Как предоставить доступ к студии моего канала другому пользователю?,"Нажмите на кнопку ""Добавить пользователя"" блока ""Доступы к студии канала"" в настройках канала: https://studio.rutube.ru/channel-settings. Далее заполните форму добавления пользователя и нажмите на кнопку ""Добавить"". Важно помнить, вы можете предоставить доступ к студии канала тем пользователям, у которых есть аккаунт на RUTUBE или свой канал."
Можно ли предоставить доступ к студии канала другому пользователю по id канала?,"Нет, предоставление доступа возможно только по номеру телефона или электронной почте, привязанные к действующему профилю RUTUBE."
"Можно ли предоставить доступ к студии канала другому пользователю, не зарегистрированному на RUTUBE?","Нет, предоставить доступ возможно только зарегистрированному пользователю RUTUBE с действующим профилем."
Скольким пользователям можно предоставить доступ к студии канала?,Максимальное количество пользователей с разными ролями - 50 человек для 1 канала.
К какому количеству студий может быть одновременно предоставлен доступ одному пользователю?,Таких ограничений нет.
Может ли один пользователь занимать сразу несколько ролей доступа в рамках студии одного канала?,"Нет, действует ограничение, в рамках которого пользователь может иметь доступ к чужой студии только в одной роли."
Можно ли через настройки канала в Студии RUTUBE предоставить полный доступ к моей студии?,"Нет, предоставление доступа даже самого высокого уровня не даёт всех возможностей, которые имеются у владельца канала. Недоступны следующие возможности: Удаление канала, Управление настройками доступа к студии."
"Может ли пользователь, которому предоставлен доступ к студии канала, открывать доступ и назначать роли другим пользователям?","Нет, только владелец канала может управлять настройками доступа и назначать роли."
"Можно ли отследить действия пользователей, которым выдали доступ к студии канала?","Такая функция еще не реализована, следите за нашими обновлениями. Мы рекомендуем выдавать доступы только тем пользователям, которым вы полностью доверяете."
"Может ли пользователь, которому предоставили доступ к студии канала, самостоятельно отказаться от него?","Да, может. Для этого ему необходимо нажать на кнопку удаления напротив названия канала, к которому предоставлен доступ, в выпадающем меню своего профиля (вызывается нажатием на аватар в правом верхнем углу Студии) в Студии RUTUBE: https://studio.rutube.ru/"
"Где посмотреть, к каким студиям мне предоставлен доступ?","Все предоставленные доступы пользователь может видеть в разделе ""Профили"" в меню Студии RUTUBE: https://studio.rutube.ru/. Все студии расположены в формате списка, с помощью которого можно перемещаться из одной студии в другую."
"Могу ли я посмотреть, с какими студиями уже работает пользователь, которому я хочу предоставить доступ?",Такой возможности нет.
Какие бывают роли в доступах к студии канала?,"Всего существуют пять ролей, каждая роль ограничена своим функционалом: 1. Редактор 2. Редактор с ограниченными правами 3. Модератор комментариев 4. Пользователь с правами просмотра 5. Пользователь с ограниченными правами просмотра"
